Indicator_Trend,Detailed_Indicator_Trend,Unit,OECD_Country,Value,Year,Comparison_to_OECD_average,Labels (multiple graphs only)
ADULT OBESITY,% of adults that are obese,percent_population,Japan,27.2,2019,better,
ADULT OBESITY,% of adults that are obese,percent_population,Korea,36.7,2021,better,
ADULT OBESITY,% of adults that are obese,percent_population,France,46.4,2017,better,
ADULT OBESITY,% of adults that are obese,percent_population,Israel,50.9,2015,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Estonia,51.3,2014,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Czech Republic,55,2010,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Belgium,55.4,2018,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Latvia,58.8,2020,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Canada,59.8,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Germany,60,2012,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Ireland,61,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,United Kingdom,64.2,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Turkey,64.4,2017,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Australia,65.2,2017,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Finland,67.6,2017,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Hungary,67.6,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Portugal,67.6,2015,similar,
ADULT OBESITY,% of adults that are obese,percent_population,New Zealand,68.1,2021,similar,
ADULT OBESITY,% of adults that are obese,percent_population,United States,73.1,2019,worse,
ADULT OBESITY,% of adults that are obese,percent_children,Mexico,74.1,2020,worse,
ADULT OBESITY,% of adults that are obese,percent_children,Chile,74.2,2016,worse,
ADULT OBESITY,% of adults that are obese,percent_children,OECD,59.5,--,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Japan,27.2,2019,better,
ADULT OBESITY,% of adults that are obese,percent_population,Korea,36.7,2021,better,
ADULT OBESITY,% of adults that are obese,percent_population,France,46.4,2017,better,
ADULT OBESITY,% of adults that are obese,percent_population,Israel,50.9,2015,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Estonia,51.3,2014,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Czech Republic,55,2010,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Belgium,55.4,2018,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Latvia,58.8,2020,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Canada,59.8,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Germany,60,2012,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Ireland,61,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,United Kingdom,64.2,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Turkey,64.4,2017,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Australia,65.2,2017,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Finland,67.6,2017,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Hungary,67.6,2019,similar,
ADULT OBESITY,% of adults that are obese,percent_population,Portugal,67.6,2015,similar,
ADULT OBESITY,% of adults that are obese,percent_population,New Zealand,68.1,2021,similar,
ADULT OBESITY,% of adults that are obese,percent_population,United States,73.1,2019,worse,
ADULT OBESITY,% of adults that are obese,percent_children,Mexico,74.1,2020,worse,
ADULT OBESITY,% of adults that are obese,percent_children,Chile,74.2,2016,worse,
ADULT OBESITY,% of adults that are obese,percent_children,OECD,59.5,--,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Chile,34.8,2012,better,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Mexico,35.4,2012,better,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Colombia,35.7,2012,better,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Turkey,39.1,2012,better,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Greece,43.9,2012,better,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Costa Rica,45.4,2012,better,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Lithuania,48.7,2012,better,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Estonia,51.6,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Korea,52.1,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Latvia,52.1,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Hungary,54.5,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Slovak Republic,57.5,2012,similar,
BREAST CANCER CASES,"Rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",age_standard_rate_per_100K,Spain,67.3,2012,similar,
