Indicator_Trend,Detailed_Indicator_Trend,Single Year / Year Range,Data point,Line of best fit point,Trend segment,Trend,Data quality,Unit,Data upper CI,Data lower CI
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2015,19.2,19.13,2015-2016,Stable,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2016,19,19.22,2016-2017,Stable,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2017,19.5,19.31,2017-2018,Stable,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2018,19.1,19.4,2018-2019,Decreasing,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2019,18.3,18.05,2019-2020,Decreasing,,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2020,16.6,16.8,2020-2021,Decreasing,Caution,,,
HEAVY DRINKING,% of population aged 12 years and older who report heavy drinking,2021,15.6,15.64,,,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2007,67.1,67.21,2007-2008,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2008,65.4,67.21,2008-2009,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2009,67,67.22,2009-2010,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2010,69.1,67.22,2010-2011,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2011,69.2,67.23,2011-2012,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2012,66.7,67.24,2012-2013,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2013,66.5,67.24,2013-2014,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2014,67.1,67.25,2014-2015,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2015,66.7,67.25,2015-2016,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2016,67.5,67.26,2016-2017,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2017,66.6,67.26,2017-2018,Stable,,,,
BREAST CANCER CASES,"Incidence rate of all newly diagnosed breast cancers, per 100,000 (age-standardized)",2018,67.7,67.27,,,,,,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,2010,29.5,28.81,2010-2014,Stable,,,,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,2014,27,28.31,2014-2018,Stable,,,,
BULLYING,% of grade 6-10 students who were victims of bullying more than once or twice in the past two months,2018,28.5,27.83,,,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2007,65.6,65.79,2007-2008,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2008,65.8,65.23,2008-2009,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2009,64.2,64.68,2009-2010,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2010,64.2,64.14,2010-2011,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2011,63.9,63.59,2011-2012,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2012,62.9,63.06,2012-2013,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2013,62.2,62.53,2013-2014,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2014,61.8,62,2014-2015,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2015,60.8,59.72,2015-2016,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2016,57.1,57.53,2016-2017,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2017,55,55.42,2017-2018,Decreasing,,,,
COLORECTAL CANCER CASES,"Rate of all newly diagnosed colorectal cancers, per 100,000 (age-standardized)",2018,53.7,53.39,,,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2007,224.6,224.74,2007-2008,Decreasing,,,,
CANCER DEATHS,"All cancer mortality rate, total population, per 100,000 (age-standardized)",2008,221.5,221.4,2008-2009,Decreasing,,,,
